,Exercise,right_elbow,right_shoulder,right_hip,right_knee,right_ankle
408,2.0,90.6,23.68,173.2,176.53,166.19
2,0.0,146.66,26.49,179.11,171.05,161.61
353,2.0,59.64,20.92,170.86,177.27,169.82
295,2.0,39.23,31.64,163.35,169.1,154.45
210,1.0,143.17,48.97,172.18,164.06,75.97
280,2.0,72.88,41.46,124.49,127.24,140.49
269,2.0,44.12,36.13,123.55,155.03,149.1
224,1.0,84.59,19.79,179.49,169.54,61.11
161,1.0,76.95,18.15,178.95,164.62,69.04
201,1.0,176.16,73.43,167.09,176.13,101.11
303,2.0,43.22,28.38,156.59,152.11,145.87
372,2.0,80.71,31.73,172.25,170.89,158.42
324,2.0,46.71,31.02,130.3,111.46,116.23
206,1.0,175.99,69.12,166.54,173.08,92.99
127,1.0,129.12,44.56,177.82,167.33,89.79
419,2.0,42.94,43.54,176.0,175.08,158.42
284,2.0,68.32,25.89,160.72,150.2,137.52
428,2.0,129.23,135.91,173.01,176.29,162.73
254,1.0,111.67,36.93,163.12,156.49,71.74
125,1.0,107.6,25.46,178.53,170.06,85.71
265,2.0,107.53,97.14,84.55,112.56,141.28
212,1.0,130.27,39.59,176.07,165.26,74.04
291,2.0,68.49,9.52,167.53,174.27,155.84
197,1.0,178.38,71.5,168.31,178.54,98.65
233,1.0,68.79,17.29,173.6,168.14,59.51
272,2.0,46.85,26.48,119.76,143.99,141.02
403,2.0,20.88,38.61,174.86,178.28,173.54
286,2.0,67.45,17.62,174.27,167.45,145.49
119,1.0,97.1,19.84,173.01,177.86,75.81
383,2.0,49.89,34.29,178.61,176.88,161.48
340,2.0,35.71,28.87,157.41,155.46,139.53
228,1.0,77.57,20.3,174.47,169.18,62.41
193,1.0,179.73,73.12,166.12,167.2,94.51
283,2.0,66.7,31.05,150.07,142.55,134.55
59,0.0,155.92,109.27,152.85,171.85,159.94
50,0.0,173.95,27.88,176.78,177.29,153.71
22,0.0,167.79,25.71,176.04,166.72,150.95
385,2.0,42.64,39.68,178.45,176.46,163.28
83,1.0,174.72,67.99,164.96,176.95,128.77
139,1.0,179.13,72.74,164.54,156.96,76.95
47,0.0,161.11,22.89,176.75,176.69,155.42
124,1.0,97.37,18.03,174.56,174.44,84.91
279,2.0,71.22,42.02,123.38,129.14,143.86
116,1.0,112.14,35.46,175.97,176.22,75.04
211,1.0,137.53,44.13,176.6,167.03,76.76
162,1.0,75.42,16.58,178.42,165.88,69.17
105,1.0,159.19,60.17,173.58,163.47,82.33
130,1.0,152.65,60.82,178.78,166.67,89.53
270,2.0,45.69,28.08,129.67,156.02,149.39
292,2.0,26.79,27.78,163.26,171.39,160.74
20,0.0,179.16,72.66,167.29,167.29,173.57
103,1.0,131.32,43.6,175.52,165.4,78.33
46,0.0,161.65,22.82,176.45,175.91,157.25
29,0.0,176.28,18.36,178.59,176.56,160.26
262,1.0,171.9,66.74,163.97,164.76,93.29
141,1.0,176.31,71.1,169.9,165.9,77.64
294,2.0,34.75,32.7,162.7,169.39,151.2
68,0.0,173.59,44.85,176.24,176.59,158.08
58,0.0,159.02,147.85,151.94,177.13,170.26
152,1.0,118.98,35.82,174.06,161.0,61.34
91,1.0,121.88,14.25,133.27,167.74,86.27
376,2.0,78.78,27.64,176.07,174.8,159.53
310,2.0,41.21,28.7,151.69,138.63,134.0
1,0.0,145.33,22.83,170.95,174.19,162.12
98,1.0,92.09,13.61,176.57,165.94,78.96
251,1.0,93.34,30.89,169.15,163.86,67.73
302,2.0,42.81,28.97,157.9,155.15,149.36
36,0.0,134.34,83.82,173.16,175.56,175.59
75,0.0,144.99,136.84,153.79,175.46,157.85
184,1.0,126.2,43.38,168.2,154.61,80.14
311,2.0,41.9,28.45,151.88,139.18,132.51
410,2.0,92.18,24.14,168.79,164.15,157.56
387,2.0,38.53,39.64,179.18,177.2,163.07
388,2.0,40.32,39.43,179.08,178.92,163.3
384,2.0,45.89,39.71,179.03,176.96,162.87
325,2.0,46.3,31.28,127.26,106.43,115.03
79,0.0,165.05,22.07,174.83,171.83,155.97
378,2.0,64.38,35.34,178.1,177.39,160.25
51,0.0,163.14,35.59,178.07,177.63,155.66
77,0.0,178.18,62.49,167.7,172.35,174.08
186,1.0,140.66,52.25,166.44,154.57,85.2
41,0.0,159.91,22.74,179.79,177.35,154.35
121,1.0,99.32,20.3,173.71,177.95,74.56
289,2.0,66.34,12.31,169.89,174.86,156.23
106,1.0,164.31,61.74,175.85,165.51,79.89
10,0.0,169.0,89.17,164.15,177.41,131.15
111,1.0,150.57,56.86,170.14,178.11,111.63
276,2.0,70.46,41.11,131.09,129.28,130.23
421,2.0,16.57,49.01,177.14,175.43,159.52
301,2.0,44.04,29.5,158.73,157.29,151.28
140,1.0,179.04,71.98,165.95,161.56,75.36
84,1.0,161.67,134.93,131.74,166.42,139.59
85,1.0,176.21,110.36,144.88,162.59,128.88
221,1.0,93.66,20.74,175.03,168.59,60.74
369,2.0,84.81,25.54,172.53,174.67,162.81
368,2.0,88.64,23.09,171.35,174.81,162.85
300,2.0,45.75,29.69,159.06,159.16,151.49
313,2.0,41.78,27.2,149.75,135.71,129.47
44,0.0,165.55,20.37,178.89,176.48,157.14
374,2.0,81.37,26.62,174.21,171.96,159.81
267,2.0,28.24,20.18,116.91,145.16,132.94
82,1.0,176.34,54.85,154.54,172.99,153.9
209,1.0,151.31,55.55,165.77,163.74,80.83
90,1.0,136.47,16.46,127.98,170.13,88.81
273,2.0,50.83,29.45,123.92,142.53,141.56
145,1.0,157.06,56.5,177.77,161.36,70.76
198,1.0,177.9,71.53,168.39,176.91,99.34
43,0.0,162.42,22.73,179.57,176.96,155.86
154,1.0,102.99,27.09,169.72,164.16,65.92
309,2.0,40.98,28.28,153.21,142.67,136.0
202,1.0,177.18,72.51,168.21,176.84,103.0
354,2.0,78.33,10.35,171.0,176.54,178.16
402,2.0,20.88,38.61,175.01,178.22,173.75
386,2.0,35.52,42.99,178.49,177.17,162.64
381,2.0,54.54,38.99,179.03,175.4,164.36
175,1.0,70.03,15.57,176.23,167.22,62.05
215,1.0,114.72,30.95,179.65,163.77,71.9
189,1.0,169.68,66.47,170.09,159.54,86.76
147,1.0,144.1,47.63,175.23,163.09,72.88
342,2.0,35.46,28.83,159.56,158.91,141.83
7,0.0,155.22,27.95,179.93,169.22,161.47
81,0.0,161.24,27.98,178.03,178.44,157.76
26,0.0,163.95,23.14,179.43,177.01,163.29
264,1.0,176.35,71.62,161.57,170.42,99.11
42,0.0,159.07,22.64,179.58,176.19,154.44
411,2.0,92.06,22.14,165.96,157.98,153.43
64,0.0,167.21,26.06,176.59,177.38,156.62
5,0.0,148.28,28.49,176.56,179.16,171.61
222,1.0,91.05,21.34,177.04,167.71,61.79
160,1.0,82.06,21.16,178.86,162.93,71.56
331,2.0,44.86,30.76,138.0,120.94,119.57
213,1.0,125.57,36.76,176.96,163.47,72.68
258,1.0,139.2,45.61,168.16,154.08,75.19
94,1.0,96.47,15.71,162.5,179.07,77.69
329,2.0,46.49,31.16,127.11,102.19,111.23
278,2.0,66.1,41.48,122.65,117.6,131.11
138,1.0,178.47,70.86,145.09,115.7,60.1
256,1.0,128.0,42.35,163.07,153.24,72.09
